seed_index	world_seed	mode	reducer	run	n_subjects	observed	p_two_sided	studentization_sd	subject_statistic_skewness	n_positive	n_negative	n_zero	positive_fraction
43	20860870	benchmark	median	R2	13	2.31189772591097e-05	0.89404296875	0.000118262920888029	1.83919301370841	6	7	0	0.461538461538462
43	20860870	benchmark	mean	R1	16	1.86813996093866e-05	0.8013916015625	7.21184020963549e-05	-0.577154281679123	9	7	0	0.5625
43	20860870	benchmark	mean	R2	13	0.000157296848755198	0.15673828125	0.000108700047122003	0.426373106574497	8	5	0	0.615384615384615
44	20860871	benchmark	median	R1	16	-0.000252182177629264	0.000762939453125	8.4090903531965e-05	0.044995937790496	3	13	0	0.1875
44	20860871	benchmark	median	R2	13	-0.000431797396697489	0.000732421875	0.000147978512758497	-0.229918710782491	1	12	0	0.0769230769230769
44	20860871	benchmark	mean	R1	16	-9.68442897661178e-05	0.1351318359375	6.42256623819339e-05	0.612367530559675	5	11	0	0.3125
44	20860871	benchmark	mean	R2	13	-6.53583662345156e-05	0.56298828125	0.000106065454932722	-0.67483459453367	6	7	0	0.461538461538462
45	20860872	benchmark	median	R1	16	-0.000165420554566027	0.04327392578125	8.27910078556057e-05	0.570162006367861	5	11	0	0.3125
45	20860872	benchmark	median	R2	13	-0.000289573407407116	0.000244140625	0.00010806777349954	-1.00565502621206	0	13	0	0
45	20860872	benchmark	mean	R1	16	-3.09257666261494e-05	0.6983642578125	7.44263096022567e-05	0.823868204231161	8	8	0	0.5
45	20860872	benchmark	mean	R2	13	-0.000101240133180279	0.34814453125	0.000104559449360213	-0.743315388584899	6	7	0	0.461538461538462
46	20860873	benchmark	median	R1	16	-0.000159711430829502	0.26641845703125	0.000137268782607298	1.75544237548799	4	12	0	0.25
46	20860873	benchmark	median	R2	13	-2.00533309049036e-05	0.87255859375	0.000113297522105428	0.903036594088316	6	7	0	0.461538461538462
46	20860873	benchmark	mean	R1	16	5.57709494638145e-05	0.611724853515625	9.30229768359947e-05	1.40328262432745	9	7	0	0.5625
46	20860873	benchmark	mean	R2	13	0.000117102319996368	0.3359375	0.000117602219108722	0.186889208889892	7	6	0	0.538461538461538
47	20860874	benchmark	median	R1	16	-0.000142398493974882	0.08453369140625	8.28477428174099e-05	-0.5413849768317	7	9	0	0.4375
47	20860874	benchmark	median	R2	13	2.94168069948338e-05	0.896484375	0.000171738805695564	1.61719143727599	5	8	0	0.384615384615385
47	20860874	benchmark	mean	R1	16	-3.7594156177674e-05	0.615203857421875	7.12808916422127e-05	0.6543280966177	6	10	0	0.375
47	20860874	benchmark	mean	R2	13	0.000159155756629507	0.24267578125	0.000129968197680125	0.996879540526723	6	7	0	0.461538461538462
48	20860875	benchmark	median	R1	16	-0.000118963604276452	0.207183837890625	9.25385516272956e-05	-0.129873380362363	7	9	0	0.4375
48	20860875	benchmark	median	R2	13	5.08538936965821e-05	0.71875	0.000134625573007213	0.263532871848173	6	7	0	0.461538461538462
48	20860875	benchmark	mean	R1	16	0.000146053913992472	0.154937744140625	0.000101408013204865	-0.0910856652256882	10	6	0	0.625
48	20860875	benchmark	mean	R2	13	0.000154206234630145	0.260986328125	0.000130935735493559	0.643299270751377	8	5	0	0.615384615384615
49	20860876	benchmark	median	R1	16	-5.09133019950611e-05	0.697509765625	0.000109563913741382	1.94483144780183	7	9	0	0.4375
49	20860876	benchmark	median	R2	13	-9.00941395296971e-05	0.22900390625	7.36518868720595e-05	0.985598626434889	3	10	0	0.230769230769231
49	20860876	benchmark	mean	R1	16	2.34076007364008e-05	0.8492431640625	0.000111912265619331	0.968568941874013	8	8	0	0.5
49	20860876	benchmark	mean	R2	13	0.000131772002904423	0.144775390625	8.86531288943565e-05	0.617694192305419	6	7	0	0.461538461538462
50	20860877	benchmark	median	R1	16	-0.000158676686655949	0.093505859375	9.44105796467435e-05	0.445283791118892	4	12	0	0.25
50	20860877	benchmark	median	R2	13	-0.000117654440840938	0.533203125	0.000147267239507417	3.18118991655214	1	12	0	0.0769230769230769
50	20860877	benchmark	mean	R1	16	2.99117016304133e-05	0.7120361328125	7.86630912920273e-05	-0.000302058252103498	8	8	0	0.5
50	20860877	benchmark	mean	R2	13	0.000174670859526989	0.274169921875	0.000139103347204604	1.94205956602577	7	6	0	0.538461538461538
51	20860878	benchmark	median	R1	16	-0.000199846541922797	0.044219970703125	0.000101807918654463	2.54604761227167	2	14	0	0.125
51	20860878	benchmark	median	R2	13	3.56565489695426e-05	0.91357421875	0.000177754679300077	2.28464385171273	5	8	0	0.384615384615385
51	20860878	benchmark	mean	R1	16	-2.3123526884593e-05	0.808441162109375	7.5299329752178e-05	2.14211038691998	6	10	0	0.375
51	20860878	benchmark	mean	R2	13	0.000269301111009728	0.061279296875	0.000147585996687034	0.210402972432387	10	3	0	0.769230769230769
52	20860879	benchmark	median	R1	16	-0.000226580363011578	0.001434326171875	8.09894322071542e-05	-0.413270556076697	3	13	0	0.1875
52	20860879	benchmark	median	R2	13	-0.000314940426150474	0.00732421875	0.000129694755732535	-0.277586671371776	2	11	0	0.153846153846154
52	20860879	benchmark	mean	R1	16	-4.37241672889064e-05	0.624603271484375	8.61163339583608e-05	0.461285086399745	7	9	0	0.4375
52	20860879	benchmark	mean	R2	13	-0.000293017473313006	0.0029296875	0.000111163302810193	-0.242199307012624	1	12	0	0.0769230769230769
53	20860880	benchmark	median	R1	16	-0.000221896231226013	0.023712158203125	0.000100539417810115	0.159443149142175	4	12	0	0.25
53	20860880	benchmark	median	R2	13	-9.63413510761173e-06	0.8193359375	4.03804614046535e-05	0.653127396559917	5	8	0	0.384615384615385
53	20860880	benchmark	mean	R1	16	-6.37261742608932e-05	0.319427490234375	6.23009481453266e-05	-0.47208341611752	8	8	0	0.5
53	20860880	benchmark	mean	R2	13	0.000104983513210279	0.178466796875	7.42251436128954e-05	1.30507414501029	8	5	0	0.615384615384615
54	20860881	benchmark	median	R1	16	-8.74087446419986e-05	0.218353271484375	6.934707812885e-05	0.908965074787085	5	11	0	0.3125
54	20860881	benchmark	median	R2	13	-0.000255682011946832	0.006103515625	0.000100658766302653	0.155348801013398	3	10	0	0.230769230769231
54	20860881	benchmark	mean	R1	16	0.000112575484643749	0.077606201171875	6.40053025940695e-05	0.247106053421326	12	4	0	0.75
54	20860881	benchmark	mean	R2	13	-3.15778808909308e-05	0.751708984375	9.66301490532014e-05	0.498728662386695	5	8	0	0.384615384615385
55	20860882	benchmark	median	R1	16	-0.000126634367969251	0.080474853515625	7.24392846020555e-05	0.459472161470979	6	10	0	0.375
55	20860882	benchmark	median	R2	13	-0.000119347682519925	0.255615234375	9.92513335985217e-05	-0.873753003041962	7	6	0	0.538461538461538
55	20860882	benchmark	mean	R1	16	-3.28495716388466e-05	0.7117919921875	8.54824732235286e-05	0.789497046496935	6	10	0	0.375
55	20860882	benchmark	mean	R2	13	5.65393146619696e-05	0.56787109375	9.50701722020869e-05	-0.206288413269054	7	6	0	0.538461538461538
56	20860883	benchmark	median	R1	16	-0.000218280403651355	0.019622802734375	9.67342251816867e-05	-0.148902418086698	5	11	0	0.3125
56	20860883	benchmark	median	R2	13	-0.000152065521999149	0.273193359375	0.000132304679034786	2.06350432575822	3	10	0	0.230769230769231
56	20860883	benchmark	mean	R1	16	-3.64837895440417e-06	0.95635986328125	6.34688158052532e-05	0.100938070870858	8	8	0	0.5
56	20860883	benchmark	mean	R2	13	-4.4155850950495e-06	0.983154296875	0.000164386625090175	1.53984272858801	4	9	0	0.307692307692308
57	20860884	benchmark	median	R1	16	-0.000150536289926283	0.272979736328125	0.00013520231043577	0.107139802918009	7	9	0	0.4375
57	20860884	benchmark	median	R2	13	-0.000253654791730214	0.00439453125	9.38345793483381e-05	1.33143644997342	1	12	0	0.0769230769230769
57	20860884	benchmark	mean	R1	16	3.47034032886636e-05	0.80181884765625	0.000130354119253108	0.689008433654874	8	8	0	0.5
57	20860884	benchmark	mean	R2	13	-4.78861260384609e-06	0.938720703125	5.75224700476988e-05	-1.1024565497672	8	5	0	0.615384615384615
58	20860885	benchmark	median	R1	16	-0.000146174093245761	0.0487060546875	7.52646664277349e-05	0.0012252392977362	4	12	0	0.25
58	20860885	benchmark	median	R2	13	-0.000221084587913343	0.055419921875	0.000116385515561519	-0.260864574904652	6	7	0	0.461538461538462
58	20860885	benchmark	mean	R1	16	3.69245140401748e-05	0.71649169921875	9.70261246733616e-05	0.273231289968007	9	7	0	0.5625
58	20860885	benchmark	mean	R2	13	-6.72734604250098e-05	0.6171875	0.000114615104698637	1.95453406005357	5	8	0	0.384615384615385
59	20860886	benchmark	median	R1	16	-0.00013208583314833	0.080474853515625	7.55728156079568e-05	-0.207559640611953	6	10	0	0.375
59	20860886	benchmark	median	R2	13	-0.000118221330163858	0.381103515625	0.000129291752736924	0.75167847200105	6	7	0	0.461538461538462
59	20860886	benchmark	mean	R1	16	0.000102203328096156	0.264862060546875	8.838580261029e-05	0.607601406087474	9	7	0	0.5625
59	20860886	benchmark	mean	R2	13	1.92602161448674e-05	0.897705078125	9.91125106028888e-05	2.01291090972944	6	7	0	0.461538461538462
60	20860887	benchmark	median	R1	16	-9.3162459839664e-05	0.381561279296875	0.000103092288311629	0.555560102810507	6	10	0	0.375
60	20860887	benchmark	median	R2	13	-0.000135475403474005	0.211669921875	0.000106206102436943	0.0481144112392691	5	8	0	0.384615384615385
60	20860887	benchmark	mean	R1	16	6.31816467314817e-05	0.56005859375	0.00010035459525025	1.22918835948115	8	8	0	0.5
60	20860887	benchmark	mean	R2	13	5.65690174222154e-06	0.96484375	0.000121067472491977	-0.22638478918423	8	5	0	0.615384615384615
61	20860888	benchmark	median	R1	16	-0.00010027991742462	0.271942138671875	8.97013057406179e-05	0.0589631688921359	6	10	0	0.375
61	20860888	benchmark	median	R2	13	-0.000176040576310727	0.1494140625	0.000119240707907132	0.911005723603024	3	10	0	0.230769230769231
61	20860888	benchmark	mean	R1	16	7.7539415796209e-05	0.359130859375	8.27499242928332e-05	-0.0951249430340072	10	6	0	0.625
61	20860888	benchmark	mean	R2	13	2.5201944184256e-05	0.859130859375	0.000136171352673312	0.317265349376381	7	6	0	0.538461538461538
62	20860889	benchmark	median	R1	16	-1.22140771794508e-06	0.987396240234375	7.30830461366659e-05	-0.243054949417684	7	9	0	0.4375
62	20860889	benchmark	median	R2	13	-0.000186133295789626	0.0712890625	0.000103329824327472	0.107163408753546	5	8	0	0.384615384615385
