cell_id	seed_index	row_index	subject	run	Mpower	Mphase	n_pairs
P01	15	5	CS43	R1	-0.00552226981341224	0	14
P01	15	6	CS43	R2	-0.00330704350141907	0	14
P01	15	7	CS44	R1	-0.00363469187222668	0	14
P01	15	8	CS47	R1	0.00415673992469313	0	14
P01	15	9	CS47	R2	-0.00180992445084808	0	14
P01	15	10	CS48	R1	0.00510266155657204	0	14
P01	15	11	CS48	R2	0.00378614512404092	0	14
P01	15	12	CS49	R1	-0.00683490471301003	0	12
P01	15	13	CS49	R2	-0.00126635285050901	0	14
P01	15	14	CS51	R1	-0.00729437360840673	0	14
P01	15	15	CS51	R2	0.00311271912475864	0	12
P01	15	16	CS53	R1	-0.00149186962615183	0	12
P01	15	17	CS53	R2	0.000857108039203925	0	8
P01	15	18	CS54	R1	0.00991817218423412	0	7
P01	15	19	CS54	R2	0.00715774812603218	0	7
P01	15	20	CS55	R1	-0.00704064294981313	0	14
P01	15	21	CS55	R2	0.00479373549269718	0	14
P01	15	22	CS56	R1	-0.00479827527472158	0	12
P01	15	23	CS56	R2	-0.00790788071707475	0	12
P01	15	24	CS57	R1	-0.00271198925091691	0	12
P01	15	25	CS57	R2	-0.00168616928078135	0	12
P01	15	26	CS58	R1	0.00330134819426971	0	7
P01	15	27	CS60	R1	0.0057107758255991	0	14
P01	15	28	CS62	R1	0.00901388006129659	0	7
P01	15	29	CS62	R2	0.00470532849441501	0	7
P01	16	1	CS41	R1	-0.000277285528624422	0	14
P01	16	2	CS41	R2	-0.000649262346845349	0	14
P01	16	3	CS42	R1	-0.00373146933465947	0	14
P01	16	4	CS42	R2	-0.0101179485144751	0	14
P01	16	5	CS43	R1	-2.76382207407254e-05	0	14
P01	16	6	CS43	R2	-0.0127310770364391	0	14
P01	16	7	CS44	R1	0.00532718152744466	0	14
P01	16	8	CS47	R1	-0.00572423470569517	0	14
P01	16	9	CS47	R2	-0.000284874033699522	0	14
P01	16	10	CS48	R1	0.00901036122164717	0	14
P01	16	11	CS48	R2	0.00189278547976335	0	14
P01	16	12	CS49	R1	-0.0110021384966501	0	12
P01	16	13	CS49	R2	-0.00607679861335124	0	14
P01	16	14	CS51	R1	-0.0125965046364887	0	14
P01	16	15	CS51	R2	-0.00521020823566712	0	12
P01	16	16	CS53	R1	-8.80274279703326e-05	0	12
P01	16	17	CS53	R2	0.00248115044112906	0	8
P01	16	18	CS54	R1	-0.00306510283892993	0	7
P01	16	19	CS54	R2	0.000109068257447717	0	7
P01	16	20	CS55	R1	-0.00713221717744466	0	14
P01	16	21	CS55	R2	0.00239783858630227	0	14
P01	16	22	CS56	R1	5.31732790118359e-05	0	12
P01	16	23	CS56	R2	0.00532849370771406	0	12
P01	16	24	CS57	R1	-0.00627696164416891	0	12
P01	16	25	CS57	R2	0.00183215937481084	0	12
P01	16	26	CS58	R1	-5.97683311245236e-05	0	7
P01	16	27	CS60	R1	-0.00112307809696413	0	14
P01	16	28	CS62	R1	-0.0193672435634405	0	7
P01	16	29	CS62	R2	0.0117883806249751	0	7
P01	17	1	CS41	R1	0.00274834007786057	0	14
P01	17	2	CS41	R2	-0.00377805140310068	0	14
P01	17	3	CS42	R1	7.776418433261e-05	0	14
P01	17	4	CS42	R2	0.00517711502803738	0	14
P01	17	5	CS43	R1	0.00418689924528429	0	14
P01	17	6	CS43	R2	0.00177549187861605	0	14
P01	17	7	CS44	R1	-0.00190664193037369	0	14
P01	17	8	CS47	R1	-0.00891232949264858	0	14
P01	17	9	CS47	R2	0.00173106550450554	0	14
P01	17	10	CS48	R1	-0.0103549015019402	0	14
P01	17	11	CS48	R2	0.0142232685582923	0	14
P01	17	12	CS49	R1	-0.00879527097299518	0	12
P01	17	13	CS49	R2	0.00729520126699896	0	14
P01	17	14	CS51	R1	-0.00811498491496836	0	14
P01	17	15	CS51	R2	-0.0119398696424894	0	12
P01	17	16	CS53	R1	0.000573502288264476	0	12
P01	17	17	CS53	R2	0.00388863368458305	0	8
P01	17	18	CS54	R1	0.000133967484027656	0	7
P01	17	19	CS54	R2	0.00659117890732358	0	7
P01	17	20	CS55	R1	0.000171810124904953	0	14
P01	17	21	CS55	R2	0.00583813798045137	0	14
P01	17	22	CS56	R1	0.00301263635200457	0	12
P01	17	23	CS56	R2	-0.00997127541065079	0	12
P01	17	24	CS57	R1	-0.00212072685324799	0	12
P01	17	25	CS57	R2	0.0134002952906168	0	12
P01	17	26	CS58	R1	-0.0035589961218744	0	7
P01	17	27	CS60	R1	-0.00241619430028071	0	14
P01	17	28	CS62	R1	-0.000474135764191864	0	7
P01	17	29	CS62	R2	-0.0033874461330403	0	7
P01	18	1	CS41	R1	-0.00658354030776484	0	14
P01	18	2	CS41	R2	9.44067816196087e-05	0	14
P01	18	3	CS42	R1	-0.00555296453196451	0	14
P01	18	4	CS42	R2	-0.00627230758598808	0	14
P01	18	5	CS43	R1	-0.00531666504701251	0	14
P01	18	6	CS43	R2	-0.00385789259791138	0	14
