seed_index	world_seed	run_kind	arm	J_contract	reducer	run	n_subjects	observed	p_two_sided	studentization_sd	subject_statistic_skewness	n_positive	n_negative	n_zero	positive_fraction	effective_contract_sha256	background_world_sha256
8	20860835	formal	J32_reference	32	median	R1	16	-0.000157431485930321	0.08367919921875	9.09757378221745e-05	-0.154550639382392	7	9	0	0.4375	28563C57C011C9FFC6068703FB96F9770274DF2EF7E790469BD70EF541A2B444	1BE9CACDCC56BC723E1A39B6D2B9F963BAB09108099659EBBB33A07AC3EDEC31
8	20860835	formal	J32_reference	32	median	R2	13	-8.32007982511307e-05	0.635009765625	0.000168714816993934	0.561725883565899	5	8	0	0.384615384615385	28563C57C011C9FFC6068703FB96F9770274DF2EF7E790469BD70EF541A2B444	1BE9CACDCC56BC723E1A39B6D2B9F963BAB09108099659EBBB33A07AC3EDEC31
8	20860835	formal	J32_reference	32	mean	R1	16	-0.000130229002156651	0.10711669921875	8.03063645141638e-05	0.342390623762271	5	11	0	0.3125	28563C57C011C9FFC6068703FB96F9770274DF2EF7E790469BD70EF541A2B444	1BE9CACDCC56BC723E1A39B6D2B9F963BAB09108099659EBBB33A07AC3EDEC31
8	20860835	formal	J32_reference	32	mean	R2	13	0.000124835401809948	0.2060546875	9.68607106553413e-05	-0.636565262990157	10	3	0	0.769230769230769	28563C57C011C9FFC6068703FB96F9770274DF2EF7E790469BD70EF541A2B444	1BE9CACDCC56BC723E1A39B6D2B9F963BAB09108099659EBBB33A07AC3EDEC31
8	20860835	formal	J256_high	256	median	R1	16	-0.000215258096667918	0.038177490234375	0.000105478656055814	0.0127011270162228	6	10	0	0.375	275133FAE62F2EB964E144A58425FA1382B899D2F6D04F086FB853D60FFB0A83	1BE9CACDCC56BC723E1A39B6D2B9F963BAB09108099659EBBB33A07AC3EDEC31
8	20860835	formal	J256_high	256	median	R2	13	-9.32948865256475e-05	0.618408203125	0.000178502024317212	0.57235287086481	5	8	0	0.384615384615385	275133FAE62F2EB964E144A58425FA1382B899D2F6D04F086FB853D60FFB0A83	1BE9CACDCC56BC723E1A39B6D2B9F963BAB09108099659EBBB33A07AC3EDEC31
8	20860835	formal	J256_high	256	mean	R1	16	-0.000122296584329722	0.118927001953125	7.78811973570541e-05	0.0750351258617768	5	11	0	0.3125	275133FAE62F2EB964E144A58425FA1382B899D2F6D04F086FB853D60FFB0A83	1BE9CACDCC56BC723E1A39B6D2B9F963BAB09108099659EBBB33A07AC3EDEC31
8	20860835	formal	J256_high	256	mean	R2	13	0.000120104604246248	0.28759765625	0.00010964476536741	-0.40068774963557	10	3	0	0.769230769230769	275133FAE62F2EB964E144A58425FA1382B899D2F6D04F086FB853D60FFB0A83	1BE9CACDCC56BC723E1A39B6D2B9F963BAB09108099659EBBB33A07AC3EDEC31
9	20860836	formal	J32_reference	32	median	R1	16	-0.00014823892744726	0.061004638671875	7.98374259389946e-05	1.51285642321636	3	13	0	0.1875	28563C57C011C9FFC6068703FB96F9770274DF2EF7E790469BD70EF541A2B444	07A6CAD5808C87B00919B0C7B20FC35BF6A99DDA8EAAFD1237D13A891452EC25
9	20860836	formal	J32_reference	32	median	R2	13	-0.000223054901299167	0.057861328125	0.000129984085083555	-1.70272987074978	5	8	0	0.384615384615385	28563C57C011C9FFC6068703FB96F9770274DF2EF7E790469BD70EF541A2B444	07A6CAD5808C87B00919B0C7B20FC35BF6A99DDA8EAAFD1237D13A891452EC25
