seed_index	world_seed	mode	arm	kappa	reducer	run	n_subjects	observed	p_two_sided	studentization_sd	subject_statistic_skewness	n_positive	n_negative	n_zero	positive_fraction	metric_stream_initial_state_hash	base_stream_state_hash	truth_a_g06_uV	truth_grid_id
9	22360836	benchmark	P0	0	median	R2	13	-0.000260499994839716	0.027099609375	0.000121017026596812	0.708922657833976	3	10	0	0.230769230769231	F4C07DED1F511B22997DAC8CBA8BEB7A84B8E8F328F0890DF90EB002047B3B0A	F4C07DED1F511B22997DAC8CBA8BEB7A84B8E8F328F0890DF90EB002047B3B0A	4.61799281479342	G06
9	22360836	benchmark	P0	0	mean	R1	16	-0.000213483283548046	0.026519775390625	9.78564955319368e-05	0.292435164913573	5	11	0	0.3125	F4C07DED1F511B22997DAC8CBA8BEB7A84B8E8F328F0890DF90EB002047B3B0A	F4C07DED1F511B22997DAC8CBA8BEB7A84B8E8F328F0890DF90EB002047B3B0A	4.61799281479342	G06
9	22360836	benchmark	P0	0	mean	R2	13	-0.000150633990981738	0.189453125	0.000112903118569752	0.523181301220597	5	8	0	0.384615384615385	F4C07DED1F511B22997DAC8CBA8BEB7A84B8E8F328F0890DF90EB002047B3B0A	F4C07DED1F511B22997DAC8CBA8BEB7A84B8E8F328F0890DF90EB002047B3B0A	4.61799281479342	G06
9	22360836	benchmark	P4	4	median	R1	16	-0.00801793077220955	3.0517578125e-05	0.00224579743614833	-0.306297008995313	0	16	0	0	F4C07DED1F511B22997DAC8CBA8BEB7A84B8E8F328F0890DF90EB002047B3B0A	F4C07DED1F511B22997DAC8CBA8BEB7A84B8E8F328F0890DF90EB002047B3B0A	4.61799281479342	G06
9	22360836	benchmark	P4	4	median	R2	13	-0.00843085173090326	0.000244140625	0.00275984127255761	-0.938896851635727	0	13	0	0	F4C07DED1F511B22997DAC8CBA8BEB7A84B8E8F328F0890DF90EB002047B3B0A	F4C07DED1F511B22997DAC8CBA8BEB7A84B8E8F328F0890DF90EB002047B3B0A	4.61799281479342	G06
9	22360836	benchmark	P4	4	mean	R1	16	-0.00882619906865935	3.0517578125e-05	0.00244750425668619	-0.527661106155429	0	16	0	0	F4C07DED1F511B22997DAC8CBA8BEB7A84B8E8F328F0890DF90EB002047B3B0A	F4C07DED1F511B22997DAC8CBA8BEB7A84B8E8F328F0890DF90EB002047B3B0A	4.61799281479342	G06
9	22360836	benchmark	P4	4	mean	R2	13	-0.00873991063125597	0.000244140625	0.00278020853757238	-0.969458273247718	0	13	0	0	F4C07DED1F511B22997DAC8CBA8BEB7A84B8E8F328F0890DF90EB002047B3B0A	F4C07DED1F511B22997DAC8CBA8BEB7A84B8E8F328F0890DF90EB002047B3B0A	4.61799281479342	G06
10	22360837	benchmark	P0	0	median	R1	16	-0.000147939405577299	0.165435791015625	0.000105204293548544	0.21471030703031	4	12	0	0.25	8B3E30403ECC48CA2A8F6978D7F7641A5F664B6B144014D5EEF927D20463C2EB	8B3E30403ECC48CA2A8F6978D7F7641A5F664B6B144014D5EEF927D20463C2EB	4.61799281479342	G06
10	22360837	benchmark	P0	0	median	R2	13	-0.000142522895005833	0.105224609375	8.76075725577298e-05	0.201442006626019	5	8	0	0.384615384615385	8B3E30403ECC48CA2A8F6978D7F7641A5F664B6B144014D5EEF927D20463C2EB	8B3E30403ECC48CA2A8F6978D7F7641A5F664B6B144014D5EEF927D20463C2EB	4.61799281479342	G06
10	22360837	benchmark	P0	0	mean	R1	16	-7.3244560178767e-05	0.376953125	8.08589841700782e-05	0.61906239396079	6	10	0	0.375	8B3E30403ECC48CA2A8F6978D7F7641A5F664B6B144014D5EEF927D20463C2EB	8B3E30403ECC48CA2A8F6978D7F7641A5F664B6B144014D5EEF927D20463C2EB	4.61799281479342	G06
10	22360837	benchmark	P0	0	mean	R2	13	-6.18970557184096e-05	0.55029296875	9.84738510894142e-05	1.01051619176695	5	8	0	0.384615384615385	8B3E30403ECC48CA2A8F6978D7F7641A5F664B6B144014D5EEF927D20463C2EB	8B3E30403ECC48CA2A8F6978D7F7641A5F664B6B144014D5EEF927D20463C2EB	4.61799281479342	G06
10	22360837	benchmark	P4	4	median	R1	16	-0.0100745031704845	3.0517578125e-05	0.0029341077974788	-1.10040815295621	0	16	0	0	8B3E30403ECC48CA2A8F6978D7F7641A5F664B6B144014D5EEF927D20463C2EB	8B3E30403ECC48CA2A8F6978D7F7641A5F664B6B144014D5EEF927D20463C2EB	4.61799281479342	G06
10	22360837	benchmark	P4	4	median	R2	13	-0.0099909471333765	0.000244140625	0.00300922039657099	-0.697463376600339	0	13	0	0	8B3E30403ECC48CA2A8F6978D7F7641A5F664B6B144014D5EEF927D20463C2EB	8B3E30403ECC48CA2A8F6978D7F7641A5F664B6B144014D5EEF927D20463C2EB	4.61799281479342	G06
